25 Arp 2025 16:00 Tournament A17. league 700-800								
10:00	gr	Kolisnyk O	 	830		2 : 3	11-8 7-11 11-7 8-11 6-11	-3
9:00	gr	Louda Ji	 	825		1 : 3	10-12 11-7 4-11 9-11	-4.8
8:30	gr	Hlawatschke A	 	783		3 : 0	12-10 11-8 11-7	+6.3
5 Arp 2025 12:00 Tournament A14. league 700-800								
		Zuzanek J		812	2 place			-6.8
		Opponent		Rat.	Result			Delta
15:30	Final	Hampejs V	 	764		1 : 3	10-12 11-6 5-11 4-11	-8.9
14:00	gr	Sucharda Ja	 	787		3 : 0	11-7 11-7 11-7	6
13:30	gr	Hampejs V	 	764		1 : 3	8-11 11-6 9-11 6-11	-8.9
12:00	gr	Nohejl V 2005	 	786		3 : 1	11-4 11-9 5-11 11-8	+4.4
1 Arp 2025 12:00 Tournament A12. league 700-800								
		Zuzanek J		806	1 place			+7.6
		Opponent		Rat.	Result			Delta
15:30	Final	Sucharda Ja	 	783		3 : 0	11-7 11-4 11-9	+6.2
14:02	gr	Sucharda Ja	 	783		0 : 3	8-11 9-11 7-11	-9.8
13:30	gr	Pycha P	 	761		3 : 2	12-10 4-11 11-8 11-13 13-11	+2.2
12:00	gr	Regner M-l	 	842		3 : 1	11-4 11-6 8-11 11-8	+8.2
31 Mar 2025 12:00 Tournament A17. league 700-800								
		Zuzanek J		794	1 place			+11.9
		Opponent		Rat.	Result			Delta
15:30	Final	Vondrak M	 	787		3 : 2	11-5 5-11 12-10 10-12 11-4	+3.7
14:00	gr	Klement M	 	794		3 : 0	11-6 11-7 11-9	8
13:00	gr	Vondrak M	 	787		2 : 3	6-11 14-12 12-10 5-11 9-11	-4.3
12:30	gr	Pycha P	 	756		3 : 1	11-4 9-11 11-9 12-10	+3.7
30 Mar 2025 20:00 Tournament A12. league 800-900								
		Zuzanek J		798	4 place			-3.6
		Opponent		Rat.	Result			Delta
23:01	3rd	Cmerda O	 	882		1 : 3	9-11 1-11 12-10 8-11	-1
22:30	gr	Vavrecka M	 	876		2 : 3	11-9 11-6 1-11 9-11 11-13	-0.9
21:01	gr	Pagac Z	 	889		0 : 3	10-12 12-14 9-11	-0.7
20:00	gr	Cmerda O	 	882		1 : 3	11-6 8-11 8-11 6-11	-1
29 Mar 2025 00:00 Tournament A12. league 800-900								
		Zuzanek J		804				-5.5
		Opponent		Rat.	Result			Delta
4:00	gr	Pagac Z	 	861		1 : 3	6-11 7-11 11-8 7-11	-2.5
2:30	gr	Bayer A	 	842		0 : 3	6-11 7-11 9-11	-4.9
1:00	gr	Louda Ji	 	862		3 : 2	10-12 4-11 11-3 11-8 11-8	+6.3
0:00	gr	Sedlak M sr.	 	849		0 : 3	9-11 4-11 10-12	-4.4
27 Mar 2025 08:00 Tournament A12. league 700-800								
		Zuzanek J		833	3 place			-29.2
		Opponent		Rat.	Result			Delta
11:00	3rd	Just F	 	780		3 : 0	11-3 11-9 11-7	+3.7
10:00	gr	Hlawatschke A	 	770		0 : 3	8-11 4-11 9-11	-13
9:30	gr	Pozarsky J	 	755		0 : 3	5-11 2-11 6-11	-14.2
8:00	gr	Just F	 	780		2 : 3	5-11 5-11 11-9 11-4 8-11	-6.1
26 Mar 2025 20:00 Tournament A12. league 800-900								
		Zuzanek J		855	4 place			-22
		Opponent		Rat.	Result			Delta
23:00	3rd	Sedlak M sr.	 	844		1 : 3	11-13 7-11 11-7 9-11	-6.7
22:30	gr	Sedlak M sr.	 	844		1 : 3	5-11 5-11 11-5 5-11	-6.7
21:00	gr	Cmerda O	 	861		1 : 3	5-11 9-11 11-9 11-13	-5.6
20:00	gr	Regner M-l	 	880		2 : 3	11-6 10-12 11-7 8-11 10-12	-3
24 Mar 2025 00:00 Tournament A12. league 700-800								
		Zuzanek J		865	1 place			-9.2
		Opponent		Rat.	Result			Delta
5:32	Final	Hofman D	 	816		3 : 1	11-7 7-11 11-4 13-11	+3.1
4:30	gr	Hofman D	 	816		3 : 2	11-4 9-11 11-3 8-11 11-9	2
3:00	gr	Sucharda Ja	 	760		0 : 3	10-12 12-14 11-13	-16.4
1:30	gr	Klement M	 	786		3 : 2	5-11 11-4 8-11 14-12 11-9	+0.8
0:00	gr	Sychra M	 	771		3 : 0	11-2 11-6 11-5	+0.5
23 Mar 2025 00:00 Tournament A14. league 800-900								
		Zuzanek J		839	1 place			+27.1
		Opponent		Rat.	Result			Delta
5:30	Final	Louda Ji	 	807		3 : 1	12-10 11-4 7-11 11-9	+4.1
4:30	gr	Pikous M	 	838		3 : 0	11-7 11-8 11-7	8
3:00	gr	Just F	 	822		3 : 0	11-9 11-4 11-9	+6.7
1:30	gr	Kolisnyk O	 	825		3 : 2	11-8 7-11 9-11 11-7 11-5	+3.4
0:00	gr	Louda Ji	 	807		3 : 1	7-11 11-8 11-5 11-8	+4.1
19 Mar 2025 16:00 Tournament A14. league 700-800								
		Zuzanek J		827	1 place			+12.2
		Opponent		Rat.	Result			Delta
19:30	Final	Louda Ji	 	807		3 : 0	11-8 11-8 11-7	+6.4
18:36	gr	Klement M	 	790		3 : 1	11-3 8-11 11-8 11-5	+3.7
17:31	gr	Brazda A	 	830		3 : 1	11-6 5-11 11-9 12-10	+6.1
16:30	gr	Louda Ji	 	807		2 : 3	8-11 11-8 9-11 11-6 13-15	-4.8
18 Mar 2025 20:00 Tournament A12. league 700-800								
		Zuzanek J		772	1 place			+30.3
		Opponent		Rat.	Result			Delta
23:30	Final	Brazda A	 	839		3 : 2	11-6 11-8 6-11 5-11 12-10	+6.7
22:00	gr	Brazda A	 	839		3 : 1	11-5 6-11 11-7 11-8	10
